12/05/2019|16:00|250|15050
12/05/2019|16:01|346|15046
12/05/2019|16:02|339|15039
12/05/2019|16:03|498|15098
12/05/2019|16:04|297|15097
12/05/2019|16:05|495|15095
12/05/2019|16:06|649|15049
12/05/2019|16:07|612|16012
12/05/2019|16:08|649|16049
12/05/2019|16:09|623|16023
12/05/2019|16:10|698|16098
12/05/2019|16:11|1500|10950
12/05/2019|16:12|1649|10964
12/05/2019|16:13|1457|10945
12/05/2019|16:14|1568|10956
12/05/2019|16:15|1532|10953
12/05/2019|16:16|1689|10968
12/05/2019|16:17|2500|10950
12/05/2019|16:18|2598|10959
12/05/2019|16:19|2560|10956
12/05/2019|16:20|2549|20054
12/05/2019|16:21|2000|20000
12/05/2019|16:22|2165|20016
12/05/2019|16:23|2017|20001
12/05/2019|16:24|2097|20009
12/05/2019|16:25|2034|20003
12/05/2019|16:26|1500|20050
12/05/2019|16:27|1567|20056
12/05/2019|16:28|1532|20053
12/05/2019|16:29|1516|20051
12/05/2019|16:30|1548|20054
12/05/2019|16:31|1549|20054
12/05/2019|16:32|1568|17056
12/05/2019|16:33|1574|17057
12/05/2019|16:34|1597|17059
12/05/2019|16:35|1894|17089
12/05/2019|16:36|1865|17086
12/05/2019|16:37|1879|17087
12/05/2019|16:38|1812|17081
12/05/2019|16:39|1846|17084
12/05/2019|16:40|1895|17089
12/05/2019|16:41|1985|17098
12/05/2019|16:42|1964|17096
12/05/2019|16:43|1979|17097
12/05/2019|16:44|1962|17096
12/05/2019|16:45|1952|17095
12/05/2019|16:46|1930|17093
12/05/2019|16:47|826|14026
12/05/2019|16:48|879|14079
12/05/2019|16:49|854|14054
12/05/2019|16:50|889|14089
12/05/2019|16:51|815|14015
12/05/2019|16:52|823|14023
12/05/2019|16:53|559|15059
12/05/2019|16:54|568|15068
12/05/2019|16:55|579|15079
12/05/2019|16:56|551|15051
12/05/2019|16:57|523|15023
12/05/2019|16:58|574|15074
12/05/2019|16:59|497|15097
